community_id,size,num_edges,density,center_lon,center_lat,lon_min,lon_max,lat_min,lat_max
0,1458,2007,0.0018895582839760373,12.317841433058982,45.43589598758573,12.3024932,12.3370138,45.4283893,45.4478277
1,1352,1672,0.0018307718586714203,12.340564848816568,45.43516530059172,12.3275776,12.3590853,45.4315257,45.4398176
2,944,1189,0.002671333824613117,12.32992304131356,45.43849841175847,12.3229086,12.337784,45.4338339,45.442196
3,805,1052,0.003250826612280214,12.324172767826088,45.44479572857142,12.3156356,12.3359352,45.4392029,45.4486288
4,735,976,0.0036182320339579973,12.358540806258501,45.43018201170067,12.3507226,12.3681293,45.4252067,45.4349778
5,614,751,0.003990626544308708,12.337825605863191,45.441200080130294,12.3303311,12.3459944,45.4375355,45.4451114
