level,num_communities,modularity
0,2,0.49230189983684036
1,3,0.6464976314338564
2,4,0.7324004434661321
3,5,0.7731282698760596
4,6,0.807056321183719
5,7,0.8498561574808069
6,8,0.8594688127184497
7,9,0.8705281940493148
8,10,0.8819476788014561
9,11,0.889110569680617
10,12,0.8991293598410924
11,13,0.9033845490763415
12,14,0.909033968185023
13,15,0.9134760080852301
14,16,0.9174638084511434
