community_id,size,num_edges,density,center_lon,center_lat,lon_min,lon_max,lat_min,lat_max
0,640,823,0.004024843505477309,12.322114620625,45.4319862959375,12.3101926,12.3370138,45.4283893,45.4355706
1,1878,2326,0.0013197140657349236,12.33911035138445,45.43699107028754,12.3275776,12.3584234,45.4315257,45.4451114
2,1014,1272,0.0024766789137660125,12.328198868737672,45.43842903145957,12.3200013,12.335689,45.433228,45.442196
3,787,1146,0.003705248455338177,12.31285118360864,45.43909211537484,12.3024932,12.3203352,45.4324688,45.4478277
4,879,1144,0.002964644540674457,12.324726765415244,45.444672155631395,12.3165362,12.3359352,45.4392029,45.4486288
5,841,1111,0.003145348508012004,12.357719002615934,45.43074940832343,12.3484519,12.3681293,45.4252067,45.4366598
