node_id,longitude,latitude,girvan_newman_community
29229062,12.318677,45.4326724,0
29229064,12.3368105,45.4451114,1
247791629,12.3358422,45.4376445,2
3165552658,12.3196234,45.4330696,0
3165552659,12.3193992,45.433266,0
4827349023,12.3237711,45.4369676,3
4827349026,12.3241886,45.436249,3
7636418620,12.3182119,45.4384412,4
1867350096,12.3328202,45.4294853,5
298025047,12.3350009,45.4420887,1
1833566300,12.3215274,45.4356227,3
1833566303,12.3166302,45.4339087,0
1833566304,12.3155719,45.4324059,0
1833566308,12.3171884,45.433296,0
49545317,12.328455,45.4478014,6
1833566320,12.317149,45.4333969,0
1833566321,12.320764,45.4349686,0
1833566325,12.3170321,45.4332517,0
1833566326,12.3177676,45.4333039,0
1833566327,12.3158107,45.4328263,0
4827349122,12.3238711,45.4369458,3
1833566356,12.3166344,45.4345148,0
1833566358,12.3172178,45.4332175,0
5131600023,12.346519,45.4382721,7
5131600026,12.3463993,45.4382671,7
4634706077,12.3342115,45.4340375,2
1833566369,12.3167856,45.4337293,0
1833566371,12.317005,45.4338264,0
298025133,12.3350035,45.4408308,1
4144512959,12.3584141,45.4355786,8
298025172,12.3361,45.4423,1
298025173,12.3354781,45.4418664,1
298025176,12.335962,45.4424366,1
4805492976,12.3276286,45.4353554,3
248119537,12.3453236,45.4388807,9
4827349226,12.3238845,45.4369747,3
5131600115,12.3207139,45.4428646,10
5131600116,12.3204168,45.4429268,10
4437983995,12.3449225,45.4339773,2
4437983998,12.3449303,45.4340242,2
10860069147,12.3174344,45.4379735,4
1476034846,12.3299627,45.4370766,11
3205333278,12.3293801,45.4360652,3
3205333285,12.3286176,45.4364148,3
5127897403,12.326223,45.435878,3
5127897404,12.3265613,45.4353966,3
49545568,12.3289845,45.4476363,6
1854243172,12.3461842,45.4355466,7
5131600231,12.3216812,45.4432826,10
298025324,12.3372866,45.4417651,1
7933722996,12.331694,45.4455,6
7933722999,12.3320728,45.445816,6
5362352513,12.3253332,45.4435831,10
4803133828,12.3287313,45.4387825,11
4803133829,12.328938,45.4386304,11
4471751048,12.3259478,45.4346537,3
4471751049,12.3259256,45.4346583,3
10860069146,12.317217,45.4380946,4
4471751053,12.3255389,45.4347639,3
10296885652,12.3569557,45.4283453,12
7965868454,12.3235658,45.4324142,0
7965868457,12.3235981,45.4322933,0
