node_id,longitude,latitude,infomap_community
29229062,12.318677,45.4326724,1
29229064,12.3368105,45.4451114,0
247791629,12.3358422,45.4376445,0
3165552658,12.3196234,45.4330696,1
3165552659,12.3193992,45.433266,1
4827349023,12.3237711,45.4369676,1
7636418620,12.3182119,45.4384412,1
1867350096,12.3328202,45.4294853,6
298025047,12.3350009,45.4420887,0
1833566300,12.3215274,45.4356227,1
1833566303,12.3166302,45.4339087,1
1833566304,12.3155719,45.4324059,1
13737224860,12.3056981,45.4406769,5
1833566308,12.3171884,45.433296,1
49545317,12.328455,45.4478014,2
1833566320,12.317149,45.4333969,1
1833566321,12.320764,45.4349686,1
1833566325,12.3170321,45.4332517,1
1833566326,12.3177676,45.4333039,1
1833566327,12.3158107,45.4328263,1
4827349122,12.3238711,45.4369458,1
1833566356,12.3166344,45.4345148,1
1833566358,12.3172178,45.4332175,1
5131600023,12.346519,45.4382721,0
5131600026,12.3463993,45.4382671,0
4634706077,12.3342115,45.4340375,0
1833566369,12.3167856,45.4337293,1
1833566371,12.317005,45.4338264,1
298025133,12.3350035,45.4408308,0
4144512959,12.3584141,45.4355786,3
298025172,12.3361,45.4423,0
298025173,12.3354781,45.4418664,0
298025176,12.335962,45.4424366,0
4805492976,12.3276286,45.4353554,1
248119537,12.3453236,45.4388807,0
4827349226,12.3238845,45.4369747,1
5131600115,12.3207139,45.4428646,2
5131600116,12.3204168,45.4429268,2
4437983995,12.3449225,45.4339773,0
4437983998,12.3449303,45.4340242,0
10860069147,12.3174344,45.4379735,1
1476034846,12.3299627,45.4370766,4
3205333278,12.3293801,45.4360652,1
3205333285,12.3286176,45.4364148,1
5127897403,12.326223,45.435878,1
5127897404,12.3265613,45.4353966,1
49545568,12.3289845,45.4476363,2
1854243172,12.3461842,45.4355466,0
5131600231,12.3216812,45.4432826,2
298025324,12.3372866,45.4417651,0
7933722996,12.331694,45.4455,2
7933722999,12.3320728,45.445816,2
5362352513,12.3253332,45.4435831,2
4803133828,12.3287313,45.4387825,4
4803133829,12.328938,45.4386304,4
4471751048,12.3259478,45.4346537,1
4471751049,12.3259256,45.4346583,1
13737984395,12.3326062,45.4332725,0
4471751053,12.3255389,45.4347639,1
10860069146,12.317217,45.4380946,1
7965868454,12.3235658,45.4324142,1
7965868457,12.3235981,45.4322933,1
1862173148,12.3490552,45.4336591,0
1862173150,12.3493081,45.4339353,0
1862173159,12.3496928,45.4335434,0
1862173160,12.3493598,45.4338007,0
1862173161,12.3497249,45.4334433,0
298025459,12.3374828,45.4421766,0
1862173176,12.3492321,45.4338497,0
1862173184,12.3496325,45.4333217,3
3165553161,12.3229086,45.4363026,1
3165553162,12.3230441,45.4365362,1
11870077452,12.3395122,45.4367835,0
3165553163,12.3224085,45.4366823,1
3165553168,12.3234093,45.4371797,1
5151752721,12.3114457,45.4331035,1
5151752723,12.3116619,45.432665,1
5151752724,12.311858,45.4327135,1
5151752727,12.3114838,45.4330258,1
5151752725,12.3113692,45.4329988,1
5151752722,12.3118814,45.4322368,1
5151752731,12.3122411,45.4322907,1
5151752732,12.3122517,45.4320426,1
5151752733,12.3123736,45.4322962,1
5151752734,12.3123853,45.4320463,1
5151752735,12.3125922,45.4323036,1
5151752736,12.312602,45.4321605,1
5151752739,12.3125482,45.432051,1
5151752740,12.3126665,45.4320543,1
5151752741,12.3128169,45.4323103,1
5151752742,12.3128321,45.432059,1
5151752743,12.312951,45.4323143,1
5151752744,12.3129568,45.4320625,1
5151752745,12.3131783,45.432321,1
5151752746,12.3131842,45.4321646,1
5151752749,12.3131307,45.4320675,1
5151752750,12.3132419,45.4320706,1
5151752751,12.3134004,45.432327,1
5151752752,12.3134083,45.4320753,1
5151752753,12.313524,45.4323332,1
5151752754,12.3135339,45.4320789,1
5151752756,12.3132477,45.432529,1
252314171,12.3369947,45.4381501,0
252314174,12.3371501,45.4380431,0
252314179,12.3373708,45.437728,0
252314180,12.3372981,45.4375904,0
252314182,12.3372403,45.4380254,0
252314186,12.3375593,45.4401712,0
252314187,12.3379314,45.4397345,0
49545796,12.3292886,45.447994,2
7886537293,12.3590853,45.4358249,3
7886537291,12.3586873,45.4355887,3
7886537290,12.3585206,45.4354867,3
7886537292,12.3587277,45.4354728,3
298025559,12.3401771,45.442867,0
11945345626,12.3095234,45.4422726,5
5151752799,12.3126084,45.4327781,1
11945345625,12.3094433,45.4421795,5
11945345627,12.3088339,45.4422767,5
11945345636,12.3037406,45.4388032,5
5151752803,12.3134356,45.4332492,1
5151752804,12.3134269,45.4333511,1
11945345638,12.3045797,45.4395747,5
11945345637,12.3044991,45.4396099,5
49545834,12.3286771,45.4477334,2
11298013803,12.3498566,45.4347004,0
11298013807,12.3494095,45.4347166,0
1744077425,12.3370415,45.4428818,0
1712554617,12.3400628,45.4398228,0
5134615176,12.336324,45.4380908,0
3022324358,12.3561137,45.4309628,3
