community_id,size,num_edges,density,center_lon,center_lat,lon_min,lon_max,lat_min,lat_max
0,1969,2441,0.0012598735687712388,12.339096357694261,45.43713805759269,12.3275776,12.3584234,45.4315257,45.4451114
1,1341,1776,0.0019766937126448297,12.321732681431769,45.43486403296048,12.3101926,12.3370138,45.4283893,45.4417527
2,832,1081,0.0031270249004906043,12.324067772115383,45.44470827055288,12.3156356,12.3350895,45.4392029,45.4486288
3,803,1063,0.003301211479396155,12.35810979128269,45.43058066836861,12.3484519,12.3681293,45.4252067,45.4366598
4,635,793,0.003939491790655505,12.33049180031496,45.43928578031496,12.3235662,12.3359103,45.4364128,45.442196
5,459,671,0.006383727678359068,12.309615562962964,45.43970051721133,12.3024932,12.3161824,45.4324688,45.4478277
